ANO;MES;Dez 93 = 100;% a.m.
1994;JAN;141,31;41,31
;FEV;198,22;40,27
;MAR;282,96;42,75
;ABR;403,73;42,68
;MAI;581,49;44,03
;JUN;857,29;47,43
;JUL;915,93;6,84
;AGO;932,97;1,86
;SET;947,24;1,53
;OUT;972,06;2,62
;NOV;999,37;2,81
;DEZ;1016,46;1,71
;;;
1995;JAN;1033,74;1,70
;FEV;1044,28;1,02
;MAR;1060,47;1,55
;ABR;1086,24;2,43
;MAI;1115,24;2,67
;JUN;1140,44;2,26
;JUL;1167,35;2,36
;AGO;1178,91;0,99
;SET;1190,58;0,99
;OUT;1207,37;1,41
;NOV;1225,12;1,47
;DEZ;1244,23;1,56
;;;
1996;JAN;1260,90;1,34
;FEV;1273,89;1,03
;MAR;1278,35;0,35
;ABR;1294,46;1,26
;MAI;1310,25;1,22
;JUN;1325,84;1,19
;JUL;1340,56;1,11
;AGO;1346,46;0,44
;SET;1348,48;0,15
;OUT;1352,53;0,30
;NOV;1356,86;0,32
;DEZ;1363,24;0,47
;;;
1997;JAN;1379,33;1,18
;FEV;1386,23;0,50
;MAR;1393,30;0,51
;ABR;1405,56;0,88
;MAI;1411,32;0,41
;JUN;1418,94;0,54
;JUL;1422,06;0,22
;AGO;1421,78;-0,02
;SET;1422,63;0,06
;OUT;1425,90;0,23
;NOV;1428,32;0,17
;DEZ;1434,46;0,43
;;;
1998;JAN;1444,64;0,71
;FEV;1451,29;0,46
;MAR;1456,22;0,34
;ABR;1459,71;0,24
;MAI;1467,01;0,50
;JUN;1467,30;0,02
;JUL;1465,54;-0,12
;AGO;1458,07;-0,51
;SET;1454,86;-0,22
;OUT;1455,15;0,02
;NOV;1453,40;-0,12
;DEZ;1458,20;0,33
1999;JAN;1468,41;0,70
;FEV;1483,83;1,05
;MAR;1500,15;1,10
;ABR;1508,55;0,56
;MAI;1513,08;0,30
;JUN;1515,95;0,19
;JUL;1532,47;1,09
;AGO;1541,05;0,56
;SET;1545,83;0,31
;OUT;1564,23;1,19
;NOV;1579,09;0,95
;DEZ;1588,56;0,60
;;;
2000;JAN;1598,41;0,62
;FEV;1600,49;0,13
;MAR;1604,01;0,22
;ABR;1610,75;0,42
;MAI;1610,91;0,01
;JUN;1614,62;0,23
;JUL;1640,62;1,61
;AGO;1662,11;1,31
;SET;1665,93;0,23
;OUT;1668,26;0,14
;NOV;1673,60;0,32
;DEZ;1683,47;0,59
;;;
2001;JAN;1693,07;0,57
;FEV;1700,86;0,46
;MAR;1707,32;0,38
;ABR;1717,22;0,58
;MAI;1724,26;0,41
;JUN;1733,23;0,52
;JUL;1756,28;1,33
;AGO;1768,57;0,70
;SET;1773,52;0,28
;OUT;1788,24;0,83
;NOV;1800,94;0,71
;DEZ;1812,65;0,65
;;;
2002;JAN;1822,08;0,52
;FEV;1828,64;0,36
;MAR;1839,61;0,60
;ABR;1854,33;0,80
;MAI;1858,22;0,21
;JUN;1866,02;0,42
;JUL;1888,23;1,19
;AGO;1900,50;0,65
;SET;1914,18;0,72
;OUT;1939,26;1,31
;NOV;1997,83;3,02
;DEZ;2039,78;2,10
;;;
2003;JAN;2085,68;2,25
;FEV;2118,43;1,57
;MAR;2144,49;1,23
;ABR;2165,29;0,97
;MAI;2178,50;0,61
;JUN;2175,23;-0,15
;JUL;2179,58;0,20
;AGO;2186,99;0,34
;SET;2204,05;0,78
;OUT;2210,44;0,29
;NOV;2217,96;0,34
;DEZ;2229,49;0,52
2004;JAN;2246,43;0,76
;FEV;2260,13;0,61
;MAR;2270,75;0,47
;ABR;2279,15;0,37
;MAI;2290,77;0,51
;JUN;2307,03;0,71
;JUL;2328,02;0,91
;AGO;2344,08;0,69
;SET;2351,82;0,33
;OUT;2362,17;0,44
;NOV;2378,47;0,69
;DEZ;2398,92;0,86
;;;
2005;JAN;2412,83;0,58
;FEV;2427,07;0,59
;MAR;2441,87;0,61
;ABR;2463,11;0,87
;MAI;2475,18;0,49
;JUN;2474,68;-0,02
;JUL;2480,87;0,25
;AGO;2485,09;0,17
;SET;2493,79;0,35
;OUT;2512,49;0,75
;NOV;2526,31;0,55
;DEZ;2535,40;0,36
;;;
2006;JAN;2550,36;0,59
;FEV;2560,82;0,41
;MAR;2571,83;0,43
;ABR;2577,23;0,21
;MAI;2579,81;0,10
;JUN;2574,39;-0,21
;JUL;2579,28;0,19
;AGO;2580,57;0,05
;SET;2585,99;0,21
;OUT;2594,52;0,33
;NOV;2602,56;0,31
;DEZ;2615,05;0,48
;;;
2007;JAN;2626,56;0,44
;FEV;2638,12;0,44
;MAR;2647,88;0,37
;ABR;2654,50;0,25
;MAI;2661,93;0,28
;JUN;2669,38;0,28
;JUL;2675,79;0,24
;AGO;2688,37;0,47
;SET;2693,21;0,18
;OUT;2701,29;0,30
;NOV;2711,55;0,38
;DEZ;2731,62;0,74
;;;
2008;JAN;2746,37;0,54
;FEV;2759,83;0,49
;MAR;2773,08;0,48
;ABR;2788,33;0,55
;MAI;2810,36;0,79
;JUN;2831,16;0,74
;JUL;2846,16;0,53
;AGO;2854,13;0,28
;SET;2861,55;0,26
;OUT;2874,43;0,45
;NOV;2884,78;0,36
;DEZ;2892,86;0,28
2009;JAN;2906,74;0,48
;FEV;2922,73;0,55
;MAR;2928,57;0,20
;ABR;2942,63;0,48
;MAI;2956,46;0,47
;JUN;2967,10;0,36
;JUL;2974,22;0,24
;AGO;2978,68;0,15
;SET;2985,83;0,24
;OUT;2994,19;0,28
;NOV;3006,47;0,41
;DEZ;3017,59;0,37
;;;
2010;JAN;3040,22;0,75
;FEV;3063,93;0,78
;MAR;3079,86;0,52
;ABR;3097,42;0,57
;MAI;3110,74;0,43
;JUN;3110,74;0,00
